GEOID,tract_ce6,spa,spa_num,sup_dist,pov_universe,pov_below,poverty_rate,median_income,households,high_poverty_25
06037139303,139303,SPA 2 - San Fernando,2,District 3,4644,323,0.06955211024978467,67891.0,2250,False
06037139401,139401,SPA 2 - San Fernando,2,District 3,2431,162,0.06663924310983134,81815.0,1118,False
06037139402,139402,SPA 2 - San Fernando,2,District 3,2832,320,0.11299435028248588,159926.0,955,False
06037139502,139502,SPA 2 - San Fernando,2,District 3,3315,186,0.056108597285067875,126875.0,1177,False
06037139504,139504,SPA 2 - San Fernando,2,District 3,3764,581,0.15435706695005313,59178.0,1827,False
06037139505,139505,SPA 2 - San Fernando,2,District 3,2512,530,0.21098726114649682,44913.0,1544,False
06037139506,139506,SPA 2 - San Fernando,2,District 3,3109,171,0.055001608234158894,58295.0,1503,False
06037139600,139600,SPA 2 - San Fernando,2,District 3,5164,357,0.06913245546088304,90900.0,2320,False
06037139701,139701,SPA 2 - San Fernando,2,District 3,5609,686,0.1223034408985559,183688.0,2171,False
06037139703,139703,SPA 2 - San Fernando,2,District 3,2552,60,0.023510971786833857,240083.0,925,False
06037139704,139704,SPA 2 - San Fernando,2,District 3,2871,195,0.06792058516196448,136913.0,1028,False
06037139705,139705,SPA 2 - San Fernando,2,District 3,4011,80,0.01994515083520319,250001.0,1302,False
06037139801,139801,SPA 2 - San Fernando,2,District 3,3514,230,0.06545247581104155,205000.0,1234,False
06037139802,139802,SPA 2 - San Fernando,2,District 3,3832,145,0.037839248434238,229792.0,1400,False
06037141101,141101,SPA 2 - San Fernando,2,District 3,4691,340,0.07247921551907908,85000.0,2352,False
06037141102,141102,SPA 2 - San Fernando,2,District 3,2959,204,0.06894221020615073,114009.0,1398,False
06037141201,141201,SPA 2 - San Fernando,2,District 3,3941,382,0.09692971327074347,95735.0,2238,False
06037141202,141202,SPA 2 - San Fernando,2,District 3,3111,195,0.0626808100289296,109297.0,1466,False
06037141303,141303,SPA 2 - San Fernando,2,District 3,3055,458,0.14991816693944354,85878.0,1576,False
06037141304,141304,SPA 2 - San Fernando,2,District 3,2947,316,0.10722768917543264,112781.0,1471,False
06037141305,141305,SPA 2 - San Fernando,2,District 3,2913,288,0.09886714727085479,108036.0,1356,False
06037141306,141306,SPA 2 - San Fernando,2,District 3,3222,50,0.015518311607697082,102917.0,1551,False
06037141400,141400,SPA 2 - San Fernando,2,District 3,4987,443,0.08883096049729296,109961.0,2004,False
06037141500,141500,SPA 2 - San Fernando,2,District 3,2887,78,0.027017665396605474,215272.0,1133,False
06037141600,141600,SPA 2 - San Fernando,2,District 3,4035,250,0.061957868649318466,207841.0,1821,False
06037141700,141700,SPA 2 - San Fernando,2,District 3,3086,41,0.013285806869734284,250001.0,1203,False
06037143101,143101,SPA 2 - San Fernando,2,District 5,2216,56,0.02527075812274368,105254.0,1100,False
06037143102,143102,SPA 2 - San Fernando,2,District 5,2174,161,0.07405703771849126,107647.0,1192,False
06037143200,143200,SPA 2 - San Fernando,2,District 5,4215,335,0.07947805456702253,86250.0,2114,False
06037143301,143301,SPA 2 - San Fernando,2,District 5,3273,244,0.07454934311029636,95234.0,1583,False
06037143302,143302,SPA 2 - San Fernando,2,District 5,3301,220,0.06664647076643442,115875.0,1637,False
06037143401,143401,SPA 2 - San Fernando,2,District 3,5300,395,0.07452830188679245,114750.0,2337,False
06037143402,143402,SPA 2 - San Fernando,2,District 5,1959,33,0.016845329249617153,127083.0,791,False
06037143500,143500,SPA 2 - San Fernando,2,District 3,5325,199,0.03737089201877934,156825.0,2452,False
06037143602,143602,SPA 2 - San Fernando,2,District 5,4554,581,0.12758014931927975,105542.0,2337,False
06037143603,143603,SPA 2 - San Fernando,2,District 5,2452,247,0.10073409461663947,92663.0,1375,False
06037143605,143605,SPA 2 - San Fernando,2,District 5,1899,191,0.10057925223802001,112716.0,973,False
